filiere_bac,note_maths,note_sciences,note_physique,note_langues,note_philo,interet_principal,niveau,orientation
Lettres,8.6,12.7,8.4,14.6,16.1,Sciences humaines,Lycée,Psychologie
STM,13.8,17.5,17.3,10.0,11.6,Sciences,Université,Médecine
STM,11.7,12.3,12.8,9.9,9.9,Art,Lycée,Architecture
SVT,16.7,11.6,16.8,10.3,11.6,Mécanique,Lycée,Ingénierie
PC,11.5,11.7,14.9,12.6,11.8,Art,Lycée,Architecture
STM,14.2,9.5,13.5,10.3,12.9,Voyage,Lycée,Architecture
PC,11.8,12.1,18.0,10.6,9.9,Technologie,Lycée,Ingénierie
Lettres,9.9,11.3,7.8,17.3,13.5,Voyage,Université,Langues
Economie,17.0,10.3,15.9,10.4,11.3,Technologie,Lycée,Informatique
STM,12.9,11.6,13.9,12.9,11.7,Construction,Lycée,Architecture
STM,16.4,15.7,14.6,10.9,10.9,Jeux vidéo,Lycée,Informatique
SVT,14.7,10.7,13.0,11.4,10.7,Design,Lycée,Architecture
Lettres,10.9,8.4,8.7,14.6,16.8,Politique,Université,Droit
PC,9.8,9.8,6.8,14.9,10.8,Marketing,Université,Commerce
SVT,14.2,17.1,15.7,11.9,11.0,Santé,Lycée,Médecine
SVT,15.3,18.4,16.6,13.7,10.3,Sciences,Lycée,Médecine
PC,14.2,9.5,8.5,14.0,11.4,Finance,Université,Commerce
STM,16.0,13.7,12.8,10.6,10.3,Jeux vidéo,Lycée,Informatique
Economie,9.1,7.8,9.6,18.1,13.6,Voyage,Université,Langues
Lettres,8.3,12.8,8.7,13.0,16.3,Philosophie,Université,Psychologie
Economie,13.7,8.7,10.9,15.2,13.9,Business,Lycée,Commerce
Lettres,10.4,6.0,10.9,15.9,13.1,Littérature,Université,Langues
SVT,8.0,12.5,9.5,13.3,16.0,Santé,Université,Psychologie
Lettres,9.2,6.3,9.7,15.6,17.2,Histoire,Université,Droit
Lettres,10.8,13.3,9.5,12.5,14.8,Finance,Université,Psychologie
PC,16.8,12.4,13.0,10.3,11.2,Programmation,Lycée,Informatique
Lettres,10.2,8.3,9.2,15.5,18.4,Histoire,Lycée,Droit
STM,14.9,13.7,15.4,8.9,10.8,Technologie,Lycée,Ingénierie
PC,14.2,14.5,16.1,13.2,12.4,Technologie,Université,Ingénierie
STM,17.8,11.4,12.2,11.4,10.7,Jeux vidéo,Lycée,Informatique
Lettres,13.0,10.9,10.7,15.2,12.1,Marketing,Lycée,Commerce
PC,16.1,12.0,16.7,10.2,9.4,Construction,Lycée,Ingénierie
PC,13.8,8.8,11.2,14.3,12.8,Marketing,Université,Commerce
PC,15.4,15.4,16.2,12.6,9.8,Mécanique,Lycée,Ingénierie
Lettres,8.8,9.3,10.6,15.9,16.5,Politique,Lycée,Droit
PC,13.5,16.5,17.1,13.5,11.0,Sciences,Lycée,Médecine
Lettres,7.7,8.6,8.9,17.2,14.4,Culture,Université,Langues
STM,13.1,12.3,14.2,11.2,12.2,Art,Lycée,Architecture
SVT,8.0,9.0,8.8,16.2,17.8,Histoire,Lycée,Droit
Economie,14.2,18.4,16.4,13.2,10.7,Biologie,Université,Médecine
SVT,16.4,12.8,15.1,10.1,11.4,Technologie,Lycée,Informatique
Economie,8.4,13.6,8.7,12.0,15.0,Santé,Université,Psychologie
